City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,namie,37.4833,141.0,30.97,76,70,6.42,JP,1675016601
299,redcliffe,-27.2307,153.0973,76.89,83,75,2.3,AU,1675016601
300,provideniya,64.3833,-173.3,22.69,92,83,17.31,RU,1675016603
301,prince rupert,54.3161,-130.3201,35.29,75,0,12.66,CA,1675016444
302,tabuk,17.4189,121.4443,65.82,89,100,4.32,PH,1675016604
303,saint-augustin,51.226,-58.6502,6.33,71,19,18.77,CA,1675016605
304,mayumba,-3.432,10.6554,80.01,81,98,5.21,GA,1675016606
305,bundaberg,-24.85,152.35,72.21,95,96,1.39,AU,1675016607
306,lucea,18.451,-78.1736,84.06,65,72,19.1,JM,1675016608
307,yuzhne,46.6221,31.1013,31.93,70,100,15.99,UA,1675016609
308,sisimiut,66.9395,-53.6735,16.52,76,100,17.02,GL,1675016610
309,saint george,37.1041,-113.5841,48.43,43,0,1.99,US,1675016338
310,broome,42.2506,-75.833,45.01,72,100,10.36,US,1675016611
311,pisco,-13.7,-76.2167,78.85,65,20,9.22,PE,1675016611
312,svetlyy,54.675,20.1347,36.97,90,100,20.38,RU,1675016613
313,hualmay,-11.0964,-77.6139,76.89,69,84,9.24,PE,1675016615
314,san cristobal,7.7669,-72.225,75.38,28,17,5.17,VE,1675016615
315,bambous virieux,-20.3428,57.7575,80.22,89,40,4.61,MU,1675016616
316,lasa,46.6166,10.7002,36.48,74,72,4.29,IT,1675016618
317,port-cartier,50.0334,-66.8654,3.74,68,44,3.98,CA,1675016619
318,clarksburg,39.2807,-80.3445,47.3,90,100,9.22,US,1675016620
319,tessalit,20.1986,1.0114,63.64,8,39,9.98,ML,1675016623
320,iqaluit,63.7506,-68.5145,-33.07,73,75,2.3,CA,1675016624
321,yining,29.0361,114.5636,37.74,46,0,1.66,CN,1675016625
322,catanduva,-21.1378,-48.9728,83.16,60,59,6.02,BR,1675016626
323,sinnamary,5.3833,-52.95,80.11,72,37,9.84,GF,1675016626
324,merauke,-8.4667,140.3333,80.29,82,100,4.12,ID,1675016627
325,bay roberts,47.5999,-53.2648,37.33,62,46,15.01,CA,1675016628
326,thunder bay,48.4001,-89.3168,-2.22,50,20,12.66,CA,1675016629
327,kayerkan,69.3497,87.7602,-12.48,76,96,1.66,RU,1675016630
328,great yarmouth,52.6083,1.7305,44.85,88,98,16.22,GB,1675016630
329,maridi,4.9158,29.4742,84.09,22,59,4.45,SS,1675016631
330,vysokogornyy,50.1167,139.15,-25.42,100,91,3.15,RU,1675016631
331,kapoeta,4.7717,33.5903,88.11,20,3,10.69,SS,1675016632
332,east northport,40.8768,-73.3246,50.81,70,40,12.66,US,1675016441
333,manaure,11.7751,-72.4445,85.41,52,20,21.52,CO,1675016635
334,chunhuhub,19.55,-88.6833,85.42,49,20,6.96,MX,1675016635
335,isabela,6.7085,121.9711,77.05,87,100,2.24,PH,1675016636
336,poya,-21.35,165.15,73.0,89,62,4.21,NC,1675016637
337,nesbyen,60.5681,9.1027,46.0,88,94,19.04,NO,1675016638
338,tabou,4.423,-7.3528,80.82,77,99,7.56,CI,1675016639
339,kuopio,62.8924,27.677,28.35,93,100,10.36,FI,1675016639
340,zabid,14.1951,43.3152,78.57,64,59,16.2,YE,1675016640
341,thinadhoo,0.5333,72.9333,81.46,74,98,7.61,MV,1675016641
342,ixtapa,20.7,-105.2,78.03,65,40,6.91,MX,1675016596
343,port hawkesbury,45.6169,-61.3485,34.92,60,0,11.99,CA,1675016642
344,mao,39.8885,4.2658,50.56,81,75,11.5,ES,1675016643
345,narsaq,60.9167,-46.05,12.42,68,100,9.35,GL,1675016645
346,pierre,44.3683,-100.351,9.86,59,20,13.8,US,1675016646
347,comodoro rivadavia,-45.8667,-67.5,84.06,37,0,14.97,AR,1675016651
348,san quintin,30.4833,-115.95,56.41,68,93,3.6,MX,1675016651
349,westport,41.1415,-73.3579,51.46,66,75,11.5,US,1675016652
350,sorong,-0.8833,131.25,80.29,81,100,6.22,ID,1675016653
351,harrisburg,40.2737,-76.8844,48.74,64,75,5.75,US,1675016512
352,phimai,15.2232,102.4947,59.72,50,41,14.23,TH,1675016655
353,alice springs,-23.7,133.8833,72.95,100,75,0.0,AU,1675016656
354,solnechnyy,50.7214,136.6319,-22.34,95,37,3.58,RU,1675016656
355,padang,-0.9492,100.3543,75.25,86,100,5.03,ID,1675016657
356,high level,58.5169,-117.136,-9.29,92,75,3.44,CA,1675016657
357,tacuarembo,-31.7333,-55.9833,96.69,16,0,9.08,UY,1675016659
358,sovetskiy,61.3614,63.5842,6.76,96,90,5.32,RU,1675016661
359,kembolcha,11.0816,39.7434,64.98,62,77,4.83,ET,1675016662
360,alice,27.7523,-98.0697,78.53,73,100,9.22,US,1675016662
361,nome,64.5011,-165.4064,33.87,86,100,19.57,US,1675016399
362,lata,40.1629,-8.3327,52.81,62,1,6.15,PT,1675016667
363,borzna,51.2546,32.4269,27.01,79,87,5.79,UA,1675016671
364,perevolotskiy,51.8763,54.1938,4.03,98,100,3.69,RU,1675016416
365,astoria,46.1879,-123.8313,37.9,64,0,10.36,US,1675016672
366,tongliao,43.6125,122.2653,10.72,73,0,7.14,CN,1675016672
367,zhanaozen,43.3,52.8,28.56,47,4,11.43,KZ,1675016674
368,lakheri,25.6667,76.1667,60.85,64,49,7.09,IN,1675016675
369,cidreira,-30.1811,-50.2056,79.43,74,9,14.54,BR,1675016665
370,kinsale,51.7075,-8.5306,47.57,81,40,11.5,IE,1675016600
371,vinh,18.6667,105.6667,53.6,66,1,3.74,VN,1675016677
372,kaeo,-35.1,173.7833,70.32,96,100,12.12,NZ,1675016677
373,gao,16.6362,1.637,70.52,6,84,7.92,ML,1675016678
374,washington,47.5001,-120.5015,26.33,41,62,3.15,US,1675016485
375,linxia,35.6003,103.2064,21.52,64,0,2.95,CN,1675016679
376,honiara,-9.4333,159.95,76.57,90,100,4.61,SB,1675016680
377,teeli,51.0333,90.2333,-6.05,92,93,2.26,RU,1675016493
378,basoko,1.2391,23.616,74.73,73,56,3.87,CD,1675016681
379,vengurla,15.8667,73.6333,72.43,89,25,8.14,IN,1675016683
380,diapaga,12.0708,1.7889,84.34,9,99,5.73,BF,1675016684
381,creel,27.75,-107.6333,51.4,36,28,16.58,MX,1675016685
382,yerbogachen,61.2767,108.0108,4.84,97,100,4.99,RU,1675016685
383,arcata,40.8665,-124.0828,48.81,89,0,4.61,US,1675015897
384,pangoa,-12.1167,-73.0,79.07,71,99,2.17,PE,1675016687
385,pullman,46.7313,-117.1796,19.85,46,0,14.0,US,1675016543
386,barra do garcas,-15.89,-52.2567,86.58,62,20,6.91,BR,1675016688
387,ponta delgada,37.7333,-25.6667,57.92,72,20,12.66,PT,1675016690
388,lac du bonnet,50.2536,-96.0612,-7.4,91,93,6.82,CA,1675016691
389,lagos,6.5833,3.75,81.57,74,87,6.73,NG,1675016400
390,komatipoort,-25.4332,31.9548,73.06,63,100,12.97,ZA,1675016692
391,kamenka,51.3223,42.7678,23.67,96,100,8.57,RU,1675016693
392,wolfville,45.0835,-64.3655,38.77,58,99,3.44,CA,1675016586
393,alta floresta,-9.8756,-56.0861,77.7,82,86,4.41,BR,1675016695
394,reo,12.3167,-2.4667,84.7,10,55,6.67,BF,1675016696
395,ugoofaaru,5.6667,73.0,80.42,71,17,8.41,MV,1675016696
396,akim swedru,5.8938,-1.0164,80.92,70,83,5.39,GH,1675016697
397,panuco,22.05,-98.1667,78.98,53,3,8.68,MX,1675016690
398,sao joao da barra,-21.6403,-41.0511,86.09,84,99,15.39,BR,1675016610
399,shubarkuduk,49.1447,56.4872,6.8,96,30,5.1,KZ,1675016701
400,grootfontein,-19.5667,18.1167,68.65,74,98,11.27,NA,1675016458
401,ploemeur,47.7333,-3.4333,42.82,81,100,0.0,FR,1675016702
402,galle,6.0367,80.217,74.89,80,2,0.83,LK,1675016680
403,benito juarez,19.385,-99.165,68.34,31,0,3.44,MX,1675016704
404,leningradskiy,69.3833,178.4167,2.35,86,29,3.02,RU,1675016705
405,ampanihy,-24.7,44.75,74.82,87,58,4.88,MG,1675016705
406,tabas,33.5959,56.9244,47.53,42,74,5.75,IR,1675016707
407,berdigestyakh,62.0989,126.6992,-55.12,100,78,1.23,RU,1675016708
408,karatu,-3.3333,35.6667,68.86,45,40,2.28,TZ,1675016708
409,banjar,-8.19,114.9675,76.05,93,100,4.83,ID,1675016709
410,miraflores,19.2167,-98.8083,74.16,24,0,4.09,MX,1675016710
411,mackay,-21.15,149.2,73.69,73,97,7.16,AU,1675016711
412,sokolka,53.4072,23.5023,30.67,94,100,12.39,PL,1675016711
413,fayaoue,-20.65,166.5333,80.28,73,90,9.22,NC,1675016713
414,ancud,-41.8697,-73.8203,65.79,78,33,9.84,CL,1675016713
415,kindu,-2.95,25.95,68.49,99,44,2.21,CD,1675016715
416,kampot,10.6167,104.1833,78.85,57,100,8.81,KH,1675016716
417,opunake,-39.4556,173.8583,71.11,91,86,8.86,NZ,1675016717
418,kumluca,36.3703,30.2869,53.76,68,7,6.38,TR,1675016718
419,puerto madero,14.7208,-92.4215,89.8,48,0,5.75,MX,1675016719
420,owando,-0.4819,15.8999,78.8,66,75,2.51,CG,1675016720
421,ganzhou,28.8184,115.4327,40.53,45,0,2.06,CN,1675016721
422,balkanabat,39.5108,54.3671,40.37,55,100,5.5,TM,1675016723
423,funadhoo,6.15,73.2667,80.28,71,16,9.13,MV,1675016724
424,bilma,18.6853,12.9164,77.02,12,25,5.77,NE,1675016725
425,labuhan,-6.8844,112.2051,77.83,87,100,5.88,ID,1675016726
426,cap-aux-meules,47.3821,-61.8597,23.05,63,75,12.66,CA,1675016537
427,sivaki,52.6333,126.75,-26.86,100,89,0.09,RU,1675016726
428,darnah,32.767,22.6367,57.25,51,77,10.76,LY,1675016727
429,waverly,42.7392,-84.6208,24.96,85,100,8.05,US,1675016309
430,los llanos de aridane,28.6585,-17.9182,58.75,83,75,9.22,ES,1675016729
431,khunti,23.0833,85.2833,59.11,15,0,4.38,IN,1675016730
432,constitucion,-35.3333,-72.4167,70.92,63,20,12.44,CL,1675016614
433,van,38.4924,43.3831,31.35,93,75,4.61,TR,1675016708
434,namatanai,-3.6667,152.4333,80.08,80,49,4.92,PG,1675016735
435,novopavlovka,51.2172,109.2091,0.43,100,100,0.72,RU,1675016738
436,la ronge,55.1001,-105.2842,-14.55,58,75,17.27,CA,1675016738
437,hope,33.6671,-93.5916,64.45,75,79,3.18,US,1675016739
438,tarancon,40.0085,-3.0073,36.07,60,72,1.79,ES,1675016740
439,zhigansk,66.7697,123.3711,-36.54,95,99,11.07,RU,1675016741
440,basco,20.4487,121.9702,69.62,70,97,27.6,PH,1675016741
441,alyangula,-13.8483,136.4192,81.82,79,94,8.5,AU,1675016742
442,finote selam,10.7,37.2667,67.89,28,91,6.87,ET,1675016742
443,kaduy,59.2,37.15,23.86,95,99,7.09,RU,1675016743
444,luganville,-15.5333,167.1667,79.11,86,93,3.74,VU,1675016744
445,kungurtug,50.5994,97.5228,-8.43,94,81,2.71,RU,1675016744
446,zalantun,48.0,122.7167,-6.83,92,4,5.53,CN,1675016745
447,east wenatchee bench,47.4257,-120.2812,29.48,45,0,14.97,US,1675016746
448,omboue,-1.5746,9.2618,79.36,78,90,6.51,GA,1675016746
449,kawalu,-7.3817,108.2082,71.92,93,99,2.53,ID,1675016747
450,newport,51.5877,-2.9984,46.69,90,85,10.49,GB,1675016748
451,trelew,-43.249,-65.3051,101.1,11,0,1.01,AR,1675016748
452,rio grande,-32.035,-52.0986,87.91,69,4,17.63,BR,1675016749
453,sagae,38.3725,140.2725,24.96,95,98,0.76,JP,1675016750
454,oktyabrskiy,54.4815,53.471,4.71,98,93,6.44,RU,1675016750
455,pyrzyce,53.1462,14.8926,36.63,88,100,16.2,PL,1675016751
456,mandera,3.9366,41.867,87.62,28,49,9.62,KE,1675016752
457,takapau,-40.0333,176.35,63.73,94,100,1.48,NZ,1675016753
458,preobrazheniye,42.9019,133.9064,11.12,63,99,5.3,RU,1675016755
459,nizhniy odes,63.6445,54.856,9.73,94,100,9.15,RU,1675016755
460,guerrero negro,27.9769,-114.0611,59.92,63,7,4.72,MX,1675016756
461,natal,-5.795,-35.2094,88.45,61,40,14.97,BR,1675016713
462,isiro,2.7739,27.616,71.65,67,36,3.0,CD,1675016758
463,praia,14.9215,-23.5087,73.94,60,75,23.02,CV,1675016759
464,eufaula,31.8913,-85.1455,64.44,72,40,4.61,US,1675016761
465,bloomington,44.8408,-93.2983,6.13,62,0,8.05,US,1675016628
466,dunedin,-45.8742,170.5036,60.8,74,13,4.25,NZ,1675016761
467,igarka,67.4667,86.5833,-8.14,99,92,4.61,RU,1675016763
468,vera cruz,-12.6333,-41.0333,83.77,45,19,5.17,BR,1675016764
469,oussouye,12.485,-16.5469,85.24,20,98,12.37,SN,1675016764
470,mahibadhoo,3.7833,72.9667,80.04,79,13,9.13,MV,1675016766
471,ohrid,41.1172,20.8019,33.69,60,75,11.5,MK,1675016600
472,angoche,-16.2325,39.9086,80.8,83,96,8.66,MZ,1675016767
473,honningsvag,70.9821,25.9704,31.75,74,20,3.44,NO,1675016769
474,rawatbhata,24.9333,75.5833,62.44,67,61,7.87,IN,1675016770
475,fountain hills,33.6117,-111.7174,63.27,26,0,10.36,US,1675016743
476,flin flon,54.7682,-101.865,-16.76,58,20,12.66,CA,1675016771
477,ballina,-28.8667,153.5667,74.01,97,100,7.47,AU,1675016772
478,cascais,38.6979,-9.4215,54.93,52,0,5.99,PT,1675016508
479,jieshi,22.8134,115.8257,53.24,56,31,11.25,CN,1675016773
480,karaton,-6.3424,106.1045,72.66,97,89,1.3,ID,1675016775
481,tvoroyri,61.5556,-6.8111,41.29,79,85,41.58,FO,1675016776
482,biak,-0.9131,122.8766,75.79,83,92,2.66,ID,1675016777
483,oksfjord,70.2396,22.3479,32.18,90,94,6.73,NO,1675016778
484,saint-joseph,-21.3667,55.6167,80.98,87,100,2.93,RE,1675016779
485,broken hill,-31.95,141.4333,67.89,86,100,11.7,AU,1675016780
486,roma,43.2128,-75.4557,41.83,86,100,3.44,US,1675016780
487,cradock,-32.1642,25.6192,57.81,72,77,10.49,ZA,1675016781
488,arica,-18.475,-70.3042,83.75,61,0,13.8,CL,1675016633
489,seoni,22.0833,79.5333,68.18,41,4,1.88,IN,1675016783
490,balasheyka,53.2841,48.0851,2.8,99,99,2.66,RU,1675016484
491,charters towers,-20.1,146.2667,72.55,87,79,7.54,AU,1675016785
492,ishigaki,24.3448,124.1572,51.93,71,53,5.75,JP,1675016643
493,rafsanjan,30.4067,55.9939,49.26,35,15,13.22,IR,1675016786
494,abha,18.2164,42.5053,57.02,82,0,6.91,SA,1675016788
495,camacari,-12.6975,-38.3242,85.77,55,15,10.87,BR,1675016788
496,puerto carreno,6.189,-67.4859,91.38,40,20,12.66,CO,1675016791
497,cururupu,-1.8283,-44.8683,84.76,63,81,7.23,BR,1675016792
498,vilhena,-12.7406,-60.1458,70.02,100,75,8.05,BR,1675016793
499,jinxiang,27.4327,120.6062,43.29,63,0,3.56,CN,1675016794
500,lavrentiya,65.5833,-171.0,21.38,94,100,11.23,RU,1675016796
501,pendleton,45.6721,-118.7886,23.61,64,0,5.01,US,1675016746
502,tyret pervaya,53.6703,102.3106,0.09,100,99,2.68,RU,1675016797
503,wagga wagga,-35.1167,147.3667,69.08,97,100,8.37,AU,1675016797
504,charlestown,-32.95,151.6667,72.73,95,100,1.01,AU,1675016799
505,pangody,65.85,74.4859,-25.49,100,63,4.23,RU,1675016681
506,meadow lake,34.8014,-106.5436,50.68,29,0,7.36,US,1675016800
507,taungdwingyi,20.0167,95.55,74.08,52,0,0.96,MM,1675016801
508,anadyr,64.75,177.4833,27.1,92,75,29.08,RU,1675016802
509,nelson bay,-32.7167,152.15,73.0,97,100,3.0,AU,1675016803
510,nacozari,25.3366,-108.2574,72.05,48,22,1.41,MX,1675016803
511,kamloops,50.6665,-120.3192,13.19,41,20,4.61,CA,1675016804
512,taoudenni,22.6783,-3.9836,68.05,18,36,6.06,ML,1675016805
513,sindi,20.8,78.8667,74.28,32,0,3.69,IN,1675016806
514,rio bananal,-19.265,-40.3333,81.37,77,100,4.09,BR,1675016807
515,kilindoni,-7.9139,39.6668,80.31,77,58,13.15,TZ,1675016807
516,kapuskasing,49.4169,-82.4331,-0.31,55,75,9.22,CA,1675016809
517,henties bay,-22.116,14.2845,64.35,82,34,12.84,NA,1675016809
518,kafanchan,9.5833,8.3,83.98,37,92,2.37,NG,1675016810
519,bandarbeyla,9.4942,50.8122,75.36,68,9,21.21,SO,1675016811
520,pilar,-9.5972,-35.9567,85.93,50,47,12.46,BR,1675016813
521,floro,61.5996,5.0328,42.87,81,75,35.68,NO,1675016813
522,lichinga,-13.3128,35.2406,71.69,83,75,5.75,MZ,1675016814
523,adrar,20.5022,-10.0711,67.17,30,46,8.23,MR,1675016815
524,corinto,37.9407,22.9573,52.9,73,66,6.06,GR,1675016816
525,sambava,-14.2667,50.1667,78.55,92,96,4.81,MG,1675016697
526,mokhsogollokh,61.4681,128.9203,-53.97,100,79,3.09,RU,1675016818
527,bellavista,-7.0561,-76.5911,96.58,32,51,2.3,PE,1675016819
528,shuiji,27.4214,118.345,34.99,66,0,2.3,CN,1675016819
529,surt,31.2089,16.5887,56.75,36,0,7.72,LY,1675016820
530,vardo,70.3705,31.1107,28.38,93,75,25.32,NO,1675016638
